cluster,Total_Score,EV_sum,EM3D_EM,DR_sum,MSL_sum,ZAPR_sum,N_models,N_A,N_B
2,1374.8840141173362,11.451625666638527,1250.8030558518171,74.78146962949096,0.0,0.003277218136899748,995151,520766,474385
-1,1406.8665199747682,25.80614780304887,1250.947766539468,90.91449818135582,0.0,0.0626039703122056,210818,80735,130083
1,1409.5777699179746,27.24752821308382,1225.7967656026096,118.08562475583985,0.0,0.0,5196,828,4368
0,1459.4029223048426,40.18036689528277,1268.6437221092117,111.48842313647135,0.0,0.0,5063,4849,214
